Date,MYK1,MYK2,MYK3,MYK4,MYK5,MYK6,MYK8,MYK9,MYK10,MYK11,MYK12,MYK15,MYK16,MYK18
2019-08-27,58041,0,0,0,0,67055,7874,917,926,732,0,0,0,1235
2019-08-28,83886,0,0,0,0,0,8071,867,1142,799,0,0,0,941
2019-08-29,79074,0,0,0,0,0,8364,840,878,778,0,0,0,807
2019-08-30,74991,21,0,0,0,0,7773,868,1201,820,0,0,0,875
2019-08-31,81018,0,0,0,0,0,7529,826,311,445,0,0,0,257
2019-09-01,51637,0,0,0,0,55506,7524,583,624,53,720,0,0,44
2019-09-02,90547,3,0,0,0,55637,7157,872,938,769,1905,0,0,583
2019-09-03,77289,0,0,0,0,57158,7407,878,949,823,1728,0,0,566
2019-09-04,70028,0,0,0,0,65875,6708,836,943,815,1933,0,0,328
2019-09-05,76114,0,0,0,0,65968,7151,844,845,781,1785,0,0,535
2019-09-06,64685,4,0,0,0,63048,7694,854,1159,646,1735,0,0,850
2019-09-07,86034,0,0,0,0,56372,7597,810,469,308,1824,0,0,780
2019-09-08,75913,0,0,0,0,53672,7894,593,624,63,1890,0,0,731
2019-09-09,64051,0,0,0,0,64132,7263,809,1200,591,1776,0,0,852
2019-09-10,93836,0,0,0,0,60895,8249,855,1153,689,1873,0,0,898
2019-09-11,58831,0,0,0,0,60191,8089,873,1250,682,1921,0,0,883
2019-09-12,67724,0,0,0,0,61431,7829,878,1130,680,1881,0,0,526
2019-09-13,71705,0,0,0,34,67734,7919,882,1130,701,1663,0,0,823
2019-09-14,94073,0,0,0,0,59431,5693,841,185,399,1834,0,0,632
2019-09-15,49860,0,0,0,0,45276,6323,523,192,62,1599,0,0,727
2019-09-16,57421,0,0,0,0,57665,6340,294,959,439,1750,0,0,615
2019-09-17,98943,0,0,0,0,72060,6938,862,1193,671,1660,0,0,334
2019-09-18,64498,0,0,0,0,72103,7357,840,1274,700,1677,0,0,420
2019-09-19,102039,0,0,0,0,69440,7094,868,1321,712,1948,0,0,306
2019-09-20,63358,0,0,0,0,71400,7372,864,1312,675,1630,0,0,518
2019-09-21,92531,0,0,0,0,68544,6979,827,330,526,1830,0,0,528
2019-09-22,66372,0,0,0,0,61228,6231,599,235,61,831,0,0,104
2019-09-23,82615,0,0,0,0,68531,5433,836,1208,688,736,0,0,346
2019-09-24,64287,0,0,0,0,56138,6546,851,1235,731,1085,0,0,88
2019-09-25,68308,0,0,0,0,61306,7123,861,1254,715,1445,0,0,0
2019-09-26,72222,0,0,0,0,56173,7043,867,1316,605,1612,0,0,0
2019-09-27,56904,0,0,0,0,46925,7086,889,1165,681,0,0,0,0
2019-09-28,62124,0,0,0,0,46277,6863,823,394,406,0,0,0,0
2019-09-29,55569,0,0,0,0,60004,6315,590,352,58,0,0,0,0
2019-09-30,74219,0,0,0,0,67668,6233,868,1186,653,0,0,0,0
2019-10-01,52901,0,0,0,0,63025,7169,895,1317,711,316,0,0,807
2019-10-02,109508,0,0,0,0,71598,7347,882,1391,738,1854,0,0,643
2019-10-03,74437,0,0,0,0,65767,7654,874,1370,766,1868,0,0,439
2019-10-04,110347,0,0,0,0,68040,7292,862,1253,694,1765,0,0,698
2019-10-05,60696,0,0,0,0,65510,7016,843,215,371,1946,0,0,306
2019-10-06,107702,0,0,0,0,64498,7472,564,233,52,1694,0,0,179
2019-10-07,72726,0,0,0,0,69548,7659,865,1117,641,1770,0,0,606
2019-10-08,72378,0,0,0,0,68851,7926,849,1332,722,1743,0,0,962
2019-10-09,103396,0,0,0,0,68330,8539,872,1364,719,1785,0,0,790
2019-10-10,56390,0,0,0,0,70124,8193,892,1207,739,1007,0,0,937
2019-10-11,106019,378,0,0,0,69151,8010,885,1159,695,1676,0,0,983
2019-10-12,106180,47,0,0,0,67281,7778,866,223,329,1682,0,0,491
2019-10-13,50995,0,0,0,0,65021,7640,637,248,56,1540,0,0,183
2019-10-14,76221,0,0,0,0,68368,7861,912,1375,568,1901,0,0,597
2019-10-15,88475,0,0,0,0,70977,7802,861,1260,707,1907,0,0,675
2019-10-16,87592,0,0,0,0,69320,8304,831,1309,732,1797,0,0,470
2019-10-17,64504,0,0,0,0,70934,8168,803,1138,712,1785,0,0,689
2019-10-18,70732,0,0,0,0,73840,7811,828,999,744,1802,0,0,772
2019-10-19,82055,0,0,0,0,72917,7567,806,320,352,1778,0,0,246
2019-10-20,110250,0,0,0,0,70565,7732,615,213,42,1817,0,0,181
2019-10-21,79717,0,0,0,0,81821,7814,831,1216,633,1778,0,0,394
2019-10-22,105496,0,0,0,0,77713,7693,922,1396,754,1797,0,0,405
2019-10-23,70861,0,0,0,0,78152,8381,883,1444,754,1797,0,0,479
2019-10-24,86675,0,0,0,0,83490,7407,863,1306,739,1929,0,0,736
2019-10-25,95805,0,0,1,0,77341,6833,864,1240,726,1874,0,0,944
2019-10-26,106624,0,0,4,0,71959,7420,863,262,358,1736,0,0,0
2019-10-27,86285,0,0,3,0,63526,7153,583,199,65,1722,0,0,720
2019-10-28,94152,0,0,0,0,79750,7908,854,1368,654,1807,0,0,606
2019-10-29,93239,0,0,1,0,79224,8760,899,1406,662,1094,0,0,373
2019-10-30,109818,0,0,0,0,86057,8230,849,1341,786,234,0,0,346
2019-10-31,63710,0,0,0,0,75080,7475,842,1325,675,435,0,0,519
2019-11-01,40586,0,0,0,0,74481,7148,774,1132,678,296,0,0,480
2019-11-02,123810,0,0,0,0,61308,7123,393,207,383,204,0,0,844
2019-11-03,57452,0,0,0,0,68494,7450,616,245,70,245,0,0,600
2019-11-04,132111,221,0,0,0,77476,8069,887,1371,634,1604,0,0,652
2019-11-05,83543,373,0,0,0,79683,7819,904,1206,716,1932,0,0,747
2019-11-06,116968,284,0,0,0,77567,7915,895,1331,673,1803,0,0,970
2019-11-07,90075,15,0,24654,0,65490,7692,866,1245,697,1830,0,0,563
2019-11-08,70635,0,0,32309,0,53746,8407,858,1159,766,1815,0,0,519
2019-11-09,107262,0,0,32433,0,48602,8269,849,175,552,1808,0,0,259
2019-11-10,109289,0,0,32303,0,43140,8326,614,209,52,1812,0,0,0
2019-11-11,71988,2,0,27696,0,47535,8443,882,866,882,1800,0,0,0
2019-11-12,78103,0,0,32455,0,48507,8435,830,1306,997,1911,0,0,608
2019-11-13,91493,0,0,32266,0,48205,9021,878,1209,829,1799,0,0,955
2019-11-14,69798,0,0,32294,0,48258,8131,868,1219,1049,1879,0,0,969
2019-11-15,88469,0,0,32591,0,46832,8347,907,1297,918,1842,0,0,1040
2019-11-16,115130,0,0,32542,0,51010,8064,860,186,734,1812,0,0,250
2019-11-17,92782,0,0,31989,0,46457,8082,541,184,52,1677,0,0,0
2019-11-18,68165,0,0,31627,0,45462,7208,372,934,74,0,0,0,103
2019-11-19,107117,0,0,32276,0,45462,6865,905,1202,618,0,0,0,246
2019-11-20,97408,0,0,32472,0,46409,7455,913,1318,687,0,0,0,919
2019-11-21,105838,0,0,32465,0,46382,7910,898,1247,714,0,0,0,859
2019-11-22,81117,0,0,32331,0,51504,7808,885,1162,672,0,0,0,944
2019-11-23,93078,0,0,7475,0,82606,7935,843,268,568,0,0,0,374
2019-11-24,124045,0,0,0,0,80540,7895,599,279,73,0,0,0,132
2019-11-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,79901,0,0,0,0,78708,8113,629,314,70,1945,0,0,0
2019-12-02,106995,0,0,0,0,83459,7844,823,1263,671,2040,0,0,252
2019-12-03,72463,0,0,0,0,82639,7034,823,1244,693,1634,0,0,804
2019-12-04,89721,0,0,0,0,84489,6272,846,1225,732,1818,0,0,810
2019-12-05,106793,0,0,0,0,79857,7655,870,1294,733,2034,0,0,909
2019-12-06,65259,0,0,0,0,66799,8539,864,1244,757,2264,0,0,412
