"","Date","CHI_III","GAD_CHI","GAD_JUA","KM_Hueco","SIS","SMY_BRN","SMY_I","SMY_II"
"200",2024-08-11,49.0255263309,56.8726645591,18.3392062276,199.5223693333,44.6997580985,0,22.8857266497,88.7888190899
"201",2024-08-12,49.0892693644,60.8339850875,18.3681289669,192.2624792514,63.4988676642,0,30.2508545376,88.9185652977
"202",2024-08-13,50.0927012502,60.8766452451,25.6263239432,186.6473360073,69.4370344692,0,29.353225493,88.9936443499
"203",2024-08-14,50.8739683583,57.3537567172,24.3238824925,131.3877410001,127.1951445014,0,30.4423661557,89.4703574852
"204",2024-08-15,51.0405477982,57.5409599419,26.8367706004,120.9012527233,140.5529650911,0,46.2756412713,74.3501921067
"205",2024-08-16,46.0265313775,57.4037270177,22.896638892,127.4463026478,103.2726135744,0,41.5500753202,57.2347814929
"206",2024-08-17,46.1192677797,57.487740689,18.5516947775,124.9790058176,99.3213577355,0,35.1446244048,62.006609701
"207",2024-08-18,46.0592681044,57.4376644444,18.5201234357,124.9790058176,103.8756473916,0,36.9659800573,64.734317129
"208",2024-08-19,46.0048834664,62.2158492985,18.4948734252,124.9790058176,119.1780366221,0,50.7639277531,60.9060270755
"209",2024-08-20,0,0,0,0,0,0,0,0
"210",2024-08-21,0,0,0,0,0,0,0,0
